 ,全国当前确诊人数,全国累计确诊人数,全国新增确诊人数,全国累计治疗出院人数,全国新增治疗出院人数,全国累计死亡,全国新增死亡,湖北地区累计确诊人数,湖北地区新增人数,湖北地区累计治愈人数,湖北地区新增治愈人数,武汉市累计确诊人数,武汉市新增人数,非湖北地区累计确诊人数,非湖北地区新增人数,非湖北地区累计治愈人数,非湖北地区新增治愈人数
2月28日,37414 ,79251 ,427 ,39002 ,2885 ,2835 ,47 ,66337 ,423 ,28895 ,2492 ,48557 ,420 ,12910 ,4 ,10107 ,393 
2月29日,35329 ,79824 ,573 ,41625 ,2623 ,2870 ,35 ,66907 ,570 ,31187 ,2292 ,49122 ,565 ,12914 ,3 ,10438 ,331 
3月1日,32652 ,80026 ,202 ,44462 ,2837 ,2912 ,42 ,67103 ,196 ,33757 ,2570 ,49315 ,193 ,12917 ,6 ,10705 ,267 
3月2日,30004 ,80151 ,125 ,47204 ,2742 ,2943 ,31 ,67217 ,114 ,36167 ,2410 ,49426 ,111 ,12923 ,11 ,11037 ,332 
3月3日,27433 ,80270 ,119 ,49856 ,2653 ,2981 ,38 ,67332 ,115 ,38556 ,2389 ,49540 ,114 ,12934 ,4 ,11300 ,264 
3月4日,25352 ,80409 ,139 ,52045 ,2189 ,3012 ,31 ,67466 ,134 ,40479 ,1923 ,49671 ,131 ,12938 ,5 ,11566 ,266 
3月5日,23784 ,80552 ,143 ,53726 ,1081 ,3042 ,30 ,67592 ,126 ,41966 ,1487 ,49797 ,126 ,12943 ,17 ,11760 ,(406)
3月6日,22177 ,80651 ,99 ,55404 ,1678 ,3070 ,28 ,67666 ,74 ,43468 ,1502 ,49871 ,74 ,12960 ,25 ,11936 ,176 
3月7日,20533 ,80695 ,44 ,57065 ,1661 ,3097 ,27 ,67707 ,41 ,45011 ,1543 ,49912 ,41 ,12985 ,3 ,12054 ,118 
3月8日,19016 ,80735 ,22 ,58600 ,1535 ,3119 ,22 ,67743 ,36 ,46433 ,1422 ,49948 ,36 ,12988 ,(14),12167 ,113 
3月9日,17721 ,80754 ,19 ,59897 ,1297 ,3136 ,17 ,67760 ,17 ,47585 ,1152 ,49965 ,17 ,12992 ,2 ,12312 ,145 
3月10日,16145 ,80778 ,22 ,61475 ,1578 ,3158 ,22 ,67773 ,13 ,49056 ,1471 ,49978 ,13 ,12994 ,9 ,12419 ,107 
